park_placekey,park_name,CITY,LATITUDE,LONGITUDE,area_m2,venues,median_weekly_visits,miles_to_nearest_site,share_amenity,share_booked,share_not_parklike,suspect,screen_1_any_park,screen_2_not_nonpark,screen_3_amenities,kept_by_name,pre_2024,post_2024,pre_2025,post_2025,pct_2024,pct_2025,excess
zzz-222@5z4-zjk-pjv,Warner Ranch Park,Los Angeles,34.1762,-118.6035,67495.0,1,325.0,12.2,0.0,0.0,1.0,False,False,False,False,False,580.75,655.75,500.0,733.5,12.9143,46.7,33.7857
zzz-222@5z6-3km-2ff,Cerritos Regional County Park,Cerritos,33.8508,-118.0606,225787.0,1,245.0,7.6,0.0,0.0,0.0,False,False,False,False,False,198.75,265.75,163.0,286.25,33.7107,75.6135,41.9028
zzz-222@5z6-3n3-s89,El Dorado East Regional Park,Long Beach,33.8133,-118.0892,1575988.0,1,18.0,7.56,0.0,0.0,0.0,False,False,False,False,False,19.5,25.0,12.0,20.5,28.2051,70.8333,42.6282
zzz-222@5z5-3k9-xbk,Garvey Ranch Park,Monterey Park,34.0534,-118.1133,73914.0,1,102.0,6.67,1.0,0.0,0.0,False,False,False,False,False,100.75,88.5,94.75,125.5,-12.1588,32.4538,44.6126
zzy-226@5z6-3ch-jn5,Pike Park,Long Beach,33.7656,-118.1911,80892.0,8,39082.0,8.47,0.125,0.0,0.75,False,True,False,False,False,53268.25,81316.0,50752.5,102956.5,52.6538,102.86,50.2062
222-223@5z5-3q3-v4v,Rio De Los Angeles State Park,Los Angeles,34.0987,-118.2359,256222.0,4,13895.5,1.29,0.0,0.0,0.0,False,True,True,False,False,11742.0,10540.0,9747.75,13729.5,-10.2368,40.8479,51.0846
zzz-222@5z5-382-mtv,City Of Burbank Open Space Mountain Reserve,Burbank,34.2163,-118.3184,4790917.0,1,260.0,7.28,0.0,0.0,0.0,False,False,False,False,False,499.0,398.6667,255.5,530.0,-20.1069,107.4364,127.5433
zzw-222@5z4-n33-nqz,San Dimas Canyon Community Regional Park,San Dimas,34.1314,-117.795,517658.0,1,159.5,18.54,0.0,0.0,0.0,False,False,False,False,False,422.5,395.3333,148.0,483.6667,-6.43,226.8018,233.2318
zzz-222@5z5-32w-wc5,Eaton Canyon Park And Nature Center,Altadena,34.1821,-118.0952,785151.0,1,673.5,10.08,0.0,0.0,0.0,False,False,False,False,False,4836.0,3755.0,,,-22.3532,,
zzz-222@5z4-zvg-w8v,Palisades Recreation Center,Pacific Palisades,34.0422,-118.5246,70993.0,1,145.0,9.92,0.0,0.0,0.0,False,False,False,False,False,85.0,78.75,,,-7.3529,,
zzz-222@5z6-3cc-qj9,Admiral Issac C Kidd Park,Long Beach,33.7958,-118.2166,49900.0,1,160.0,6.63,1.0,0.0,1.0,False,False,False,False,False,,12.0,12.0,12.0,,0.0,
